VBELN,LFSTK,FKSTK,GBSTK,ABSTK,LFGSK,FKIVK,UVALL,CMGST
0001008016,B,C,A,,B,,,
0001008017,B,B,B,,B,,,A
0001008018,C,B,C,,B,,,A
0001008019,B,C,A,,B,,,
0001008020,B,A,A,,A,,,
0001008021,C,B,B,,A,,,
0001008022,C,C,C,,B,,,A
0001008023,C,B,B,,B,,,
0001008024,A,B,A,,A,,,
0001008025,A,C,B,,B,,,
0001008026,A,C,B,,C,,,
0001008027,A,A,C,,C,,,A
0001008028,B,B,B,,A,,,B
0001008029,B,A,B,,C,,,
0001008030,A,B,A,,B,,,A
0001008031,B,B,C,,A,,,A
0001008032,A,B,C,,C,,,
0001008033,B,B,A,,A,,,B
0001008034,A,B,A,,A,,,
0001008035,B,B,A,,A,,,
0001008036,B,B,A,,B,,,B
0001008037,B,B,B,,B,,,
0001008038,C,C,A,,B,,,B
0001008039,C,C,A,,A,,,
0001008040,A,B,B,,A,,,B
0001008041,B,B,C,,A,,,A
0001008042,A,A,C,,B,,,A
0001008043,A,B,C,,B,,,A
0001008044,A,A,B,,B,,,A
0001008045,B,C,B,,A,,,
0001008046,A,B,B,,B,,,A
0001008047,A,C,A,,B,,,A
0001008048,B,A,A,,B,,,A
0001008049,A,A,A,,B,,,A
0001008050,B,A,A,,C,,,B
0001008051,B,B,A,,B,,,
0001008052,C,B,B,,A,,,
0001008053,B,A,C,,B,,,
0001008054,A,A,B,,A,,,
0001008055,B,A,C,,C,,,
0001008056,B,B,C,,B,,,B
0001008057,B,A,A,,A,,,A
0001008058,B,B,C,,C,,,A
0001008059,C,B,A,,C,,,A
0001008060,A,B,A,,B,,,A
0001008061,C,B,B,,A,,,
0001008062,B,A,A,,A,,,A
0001008063,A,A,B,,A,,,
0001008064,B,B,B,,A,,,
0001008065,B,A,B,,A,,,B
0001008066,B,C,C,,C,,,A
0001008067,B,B,A,,C,,,
0001008068,B,B,C,,B,,,A
0001008069,A,C,C,,C,,,A
0001008070,B,A,A,,B,,,B
0001008071,A,C,A,,A,,,
0001008072,B,B,C,,A,,,
0001008073,C,B,A,,B,,,A
0001008074,B,C,A,,A,,,A
0001008075,A,B,A,,A,,,B
0001008076,B,C,C,,C,,,B
0001008077,B,C,A,,B,,,A
0001008078,C,C,A,,A,,,A
0001008079,A,A,A,,B,,,A
0001008080,C,C,A,,B,,,
0001008081,A,C,B,,A,,,B
0001008082,A,A,A,,B,,,B
0001008083,B,B,B,,A,,,
0001008084,B,B,B,,B,,,B
0001008085,C,C,A,,B,,,A
0001008086,A,B,A,,A,,,
0001008087,B,B,C,,C,,,
0001008088,B,A,B,,B,,,A
0001008089,B,B,A,,B,,,
0001008090,A,C,B,,C,,,
0001008091,C,B,B,,B,,,A
0001008092,B,B,B,,A,,,
0001008093,A,A,C,,B,,,B
0001008094,A,A,A,,C,,,A
0001008095,A,B,A,,B,,,A
0001008096,B,B,C,,A,,,
0001008097,A,B,C,,B,,,
0001008098,A,C,B,,A,,,B
0001008099,B,C,B,,C,,,A
0001008100,B,C,A,,A,,,
0001008101,B,B,B,,B,,,
0001008102,A,B,A,,B,,,
0001008103,A,B,A,,A,,,
0001008104,A,A,A,,A,,,
0001008105,A,B,B,,B,,,B
0001008106,A,A,B,,A,,,
0001008107,B,C,A,,B,,,A
0001008108,C,B,B,,B,,,A
0001008109,B,C,A,,A,,,
0001008110,C,A,C,,B,,,A
0001008111,A,B,A,,A,,,B
0001008112,B,B,B,,A,,,A
0001008113,C,B,C,,C,,,B
0001008114,B,A,C,,A,,,B
0001008115,B,A,A,,C,,,A
0001008116,A,C,A,,C,,,A
0001008117,B,C,A,,B,,,B
0001008118,C,C,B,,B,,,
0001008119,B,C,B,,A,,,B
0001008120,B,A,B,,B,,,
0001008121,A,A,A,,A,,,B
0001008122,B,C,A,,A,,,
0001008123,B,B,C,,B,,,B
0001008124,C,B,B,,B,,,A
0001008125,C,A,B,,B,,,
0001008126,A,C,B,,B,,,
0001008127,A,A,B,,B,,,
0001008128,A,B,A,,A,,,
0001008129,A,A,B,,B,,,
0001008130,C,B,B,,B,,,A
0001008131,B,B,B,,B,,,B
0001008132,B,B,C,,B,,,
0001008133,B,C,A,,B,,,A
0001008134,C,A,A,,A,,,
0001008135,B,A,B,,B,,,A
0001008136,A,C,C,,B,,,A
0001008137,B,B,C,,C,,,
0001008138,B,C,B,,A,,,B
0001008139,A,C,A,,C,,,
0001008140,A,B,B,,B,,,A
0001008141,A,B,B,,B,,,
0001008142,A,A,A,,B,,,
0001008143,B,C,A,,B,,,
0001008144,B,C,A,,A,,,A
0001008145,C,B,B,,B,,,A
0001008146,B,C,C,,A,,,A
0001008147,B,C,B,,B,,,B
0001008148,A,B,A,,B,,,
0001008149,B,B,C,,B,,,
0001008150,B,B,B,,B,,,
0001008151,A,A,A,,C,,,
0001008152,A,A,A,,B,,,A
0001008153,A,B,C,,B,,,A
0001008154,B,A,A,,C,,,
0001008155,A,C,A,,A,,,B
0001008156,B,A,B,,B,,,
0001008157,C,B,B,,C,,,A
0001008158,C,B,C,,A,,,B
0001008159,B,B,A,,C,,,A
0001008160,A,B,A,,B,,,B
0001008161,B,A,A,,B,,,A
0001008162,B,B,B,,B,,,A
0001008163,C,B,A,,B,,,B
0001008164,B,B,B,,A,,,A
0001008165,B,C,B,,B,,,
0001008166,B,C,A,,B,,,A
0001008167,A,C,A,,B,,,B
0001008168,A,C,B,,C,,,
0001008169,C,B,C,,B,,,B
0001008170,B,B,A,,B,,,
0001008171,B,C,A,,B,,,
0001008172,B,C,A,,B,,,
0001008173,C,B,C,,B,,,A
0001008174,B,B,A,,A,,,B
0001008175,A,B,B,,A,,,
0001008176,C,C,B,,A,,,B
0001008177,B,C,A,,C,,,
0001008178,A,C,B,,B,,,
0001008179,B,B,B,,B,,,A
0001008180,B,A,B,,A,,,B
0001008181,A,C,C,,B,,,
0001008182,B,B,C,,A,,,A
0001008183,B,B,B,,C,,,A
0001008184,B,C,A,,B,,,
0001008185,B,C,B,,B,,,
0001008186,A,C,C,,B,,,
0001008187,B,B,B,,B,,,
0001008188,B,B,B,,B,,,A
0001008189,B,B,C,,B,,,
0001008190,C,B,C,,B,,,A
0001008191,C,A,A,,C,,,
0001008192,A,C,B,,A,,,B
0001008193,B,C,B,,B,,,
0001008194,B,B,C,,B,,,A
0001008195,B,B,B,,A,,,A
0001008196,B,B,B,,B,,,A
0001008197,B,A,A,,B,,,B
0001008198,C,B,C,,A,,,A
0001008199,B,B,A,,A,,,A
0001008200,B,C,A,,B,,,B
0001008201,C,B,A,,A,,,A
0001008202,A,B,A,,B,,,A
0001008203,B,C,A,,A,,,
0001008204,B,B,B,,B,,,B
0001008205,B,C,B,,B,,,
0001008206,B,C,B,,A,,,
0001008207,C,B,C,,B,,,B
0001008208,A,C,C,,B,,,B
0001008209,A,A,B,,B,,,A
0001008210,B,C,A,,C,,,
0001008211,A,B,A,,A,,,A
0001008212,B,C,C,,A,,,
0001008213,A,B,B,,C,,,A
0001008214,B,A,A,,C,,,A
0001008215,C,C,B,,C,,,
0001008216,B,B,B,,C,,,B
0001008217,A,C,B,,B,,,B
0001008218,C,B,B,,A,,,B
0001008219,B,B,A,,B,,,
0001008220,B,A,A,,C,,,A
0001008221,C,C,A,,A,,,
0001008222,B,C,C,,B,,,B
0001008223,C,B,A,,B,,,A
0001008224,B,C,B,,B,,,
0001008225,B,C,A,,A,,,
0001008226,B,A,C,,C,,,B
0001008227,B,C,A,,B,,,
0001008228,B,B,B,,B,,,A
0001008229,A,B,B,,B,,,
0001008230,B,A,A,,C,,,
0001008231,C,B,A,,B,,,
0001008232,A,A,A,,A,,,A
0001008233,A,C,C,,B,,,
0001008234,B,A,C,,C,,,A
0001008235,B,A,A,,B,,,A
0001008236,A,A,C,,A,,,B
0001008237,A,A,B,,B,,,
0001008238,A,B,B,,B,,,
0001008239,A,B,B,,C,,,B
0001008240,A,C,A,,C,,,A
0001008241,B,A,B,,B,,,B
0001008242,C,A,C,,C,,,
0001008243,A,B,A,,C,,,A
0001008244,B,C,C,,C,,,
0001008245,A,B,B,,B,,,A
0001008246,A,B,A,,B,,,
0001008247,C,C,B,,C,,,B
0001008248,B,A,B,,B,,,B
0001008249,C,B,B,,B,,,
0001008250,B,B,A,,A,,,B
0001008251,B,C,A,,B,,,A
0001008252,B,C,B,,B,,,
0001008253,B,B,A,,A,,,A
0001008254,C,B,C,,B,,,
0001008255,B,B,A,,B,,,
0001008256,B,B,A,,A,,,A
0001008257,C,A,B,,A,,,B
0001008258,A,B,B,,B,,,
0001008259,A,A,A,,C,,,
0001008260,B,B,A,,B,,,
0001008261,C,A,C,,A,,,
0001008262,A,B,C,,C,,,B
0001008263,A,A,B,,A,,,
0001008264,C,C,B,,B,,,
0001008265,B,A,C,,B,,,A
0001008266,C,B,C,,B,,,A
0001008267,C,B,B,,A,,,A
0001008268,B,B,A,,B,,,
0001008269,C,A,B,,B,,,A
0001008270,B,C,C,,B,,,
0001008271,B,C,A,,C,,,A
0001008272,B,A,A,,C,,,
0001008273,C,A,A,,C,,,B
0001008274,B,A,B,,B,,,A
0001008275,B,B,B,,B,,,B
0001008276,C,C,B,,C,,,A
0001008277,B,C,A,,B,,,
0001008278,B,A,C,,B,,,
0001008279,A,C,A,,B,,,
0001008280,C,C,B,,B,,,B
0001008281,A,C,B,,A,,,A
0001008282,A,A,B,,A,,,
0001008283,B,B,B,,B,,,A
0001008284,A,A,A,,B,,,B
0001008285,B,B,A,,B,,,B
0001008286,C,B,A,,A,,,
0001008287,C,C,C,,A,,,A
0001008288,A,B,B,,C,,,
0001008289,C,C,C,,C,,,B
0001008290,A,C,C,,A,,,B
0001008291,C,C,A,,A,,,
0001008292,A,C,B,,C,,,A
0001008293,B,C,B,,B,,,
0001008294,A,B,B,,B,,,A
0001008295,B,A,C,,C,,,
0001008296,C,A,B,,B,,,B
0001008297,A,C,B,,B,,,
0001008298,B,B,B,,C,,,
0001008299,B,A,C,,A,,,
0001008300,C,B,B,,B,,,A
0001008301,B,C,A,,C,,,A
0001008302,B,B,B,,B,,,
0001008303,A,A,A,,A,,,
0001008304,B,B,C,,A,,,
0001008305,B,B,B,,B,,,A
0001008306,C,B,A,,A,,,
0001008307,A,B,A,,C,,,B
0001008308,C,A,A,,C,,,A
0001008309,A,B,A,,B,,,A
0001008310,A,C,B,,C,,,B
0001008311,B,B,C,,A,,,B
0001008312,A,B,A,,C,,,A
0001008313,B,C,A,,B,,,A
0001008314,A,B,C,,B,,,A
0001008315,A,A,A,,A,,,A
0001008316,B,C,C,,B,,,A
0001008317,A,A,A,,B,,,A
0001008318,A,A,B,,C,,,B
0001008319,B,C,C,,C,,,A
0001008320,A,A,A,,A,,,
0001008321,B,B,B,,C,,,A
0001008322,A,B,A,,C,,,
0001008323,A,B,B,,B,,,A
0001008324,B,B,B,,C,,,
0001008325,A,C,B,,A,,,
0001008326,C,B,A,,B,,,A
0001008327,B,B,A,,A,,,B
0001008328,B,A,B,,B,,,A
0001008329,A,A,A,,C,,,
0001008330,B,B,B,,A,,,B
0001008331,A,B,C,,B,,,A
0001008332,B,A,C,,B,,,
0001008333,B,B,B,,B,,,A
0001008334,B,C,B,,A,,,
0001008335,B,C,B,,C,,,
0001008336,C,B,A,,B,,,A
0001008337,B,A,B,,C,,,
0001008338,C,B,B,,B,,,B
0001008339,C,A,C,,B,,,A
0001008340,C,A,A,,B,,,
0001008341,C,B,A,,B,,,A
0001008342,A,A,A,,B,,,
0001008343,A,C,C,,A,,,A
0001008344,B,C,A,,B,,,
0001008345,B,C,B,,C,,,B
0001008346,B,A,B,,B,,,A
0001008347,B,A,B,,B,,,A
0001008348,C,B,C,,A,,,
0001008349,C,C,B,,B,,,B
0001008350,A,B,C,,B,,,A
0001008351,B,B,B,,A,,,
0001008352,B,B,A,,A,,,
0001008353,B,C,B,,C,,,
0001008354,B,B,A,,B,,,B
0001008355,B,C,A,,C,,,A
0001008356,C,B,C,,A,,,
0001008357,B,C,A,,B,,,
0001008358,B,A,B,,A,,,
0001008359,B,C,A,,B,,,
0001008360,B,B,B,,B,,,
0001008361,A,A,A,,B,,,A
0001008362,B,A,B,,B,,,
0001008363,B,B,C,,A,,,
0001008364,A,C,B,,B,,,
0001008365,A,B,B,,A,,,A
0001008366,B,B,A,,B,,,A
0001008367,B,B,B,,A,,,
0001008368,C,B,B,,C,,,A
0001008369,B,C,A,,A,,,
0001008370,A,B,A,,C,,,
0001008371,B,B,A,,B,,,A
0001008372,A,B,B,,B,,,
0001008373,B,A,A,,B,,,
0001008374,C,B,B,,C,,,
0001008375,A,B,B,,A,,,
0001008376,A,A,A,,B,,,A
0001008377,B,A,A,,A,,,
0001008378,B,C,B,,B,,,B
0001008379,B,A,A,,C,,,A
0001008380,B,B,B,,A,,,
0001008381,B,C,B,,B,,,
0001008382,B,C,A,,B,,,
0001008383,B,C,B,,B,,,
0001008384,A,A,C,,B,,,
0001008385,B,A,A,,A,,,
0001008386,B,B,B,,A,,,A
0001008387,A,A,B,,A,,,A
0001008388,A,B,C,,A,,,
0001008389,B,A,B,,A,,,B
0001008390,B,B,B,,B,,,B
0001008391,C,A,C,,B,,,
0001008392,B,A,B,,B,,,
0001008393,C,B,B,,C,,,B
0001008394,C,B,B,,A,,,B
0001008395,A,B,A,,B,,,A
0001008396,B,A,C,,C,,,A
0001008397,C,A,A,,C,,,
0001008398,B,A,B,,A,,,
0001008399,C,B,B,,A,,,A
0001008400,C,B,A,,C,,,
0001008401,B,B,C,,A,,,
0001008402,B,B,C,,C,,,
0001008403,B,B,B,,A,,,A
0001008404,A,A,B,,B,,,
0001008405,A,C,A,,A,,,
0001008406,A,C,A,,A,,,B
0001008407,B,C,A,,B,,,
0001008408,B,B,A,,B,,,A
0001008409,A,B,A,,A,,,
0001008410,C,C,C,,B,,,A
0001008411,B,A,B,,B,,,
0001008412,A,A,B,,B,,,A
0001008413,B,B,C,,A,,,
0001008414,A,C,C,,B,,,A
0001008415,A,C,A,,B,,,A
0001008416,C,B,A,,B,,,B
0001008417,C,B,A,,B,,,A
0001008418,C,C,B,,C,,,A
0001008419,A,C,B,,B,,,
0001008420,B,C,B,,B,,,
0001008421,A,B,A,,A,,,
0001008422,B,B,B,,A,,,A
0001008423,A,C,B,,A,,,
0001008424,B,B,B,,B,,,B
0001008425,B,A,C,,B,,,A
0001008426,A,C,B,,A,,,A
0001008427,B,B,A,,B,,,
0001008428,A,A,A,,B,,,
0001008429,A,C,B,,C,,,B
0001008430,B,C,B,,B,,,
0001008431,A,B,A,,A,,,A
0001008432,A,A,A,,B,,,A
0001008433,B,C,B,,A,,,
0001008434,B,B,B,,A,,,B
0001008435,A,C,A,,B,,,A
0001008436,B,A,B,,B,,,
0001008437,A,B,A,,C,,,
0001008438,C,A,A,,B,,,A
0001008439,B,B,A,,A,,,A
0001008440,A,B,B,,A,,,
0001008441,A,A,A,,B,,,
0001008442,A,B,C,,A,,,
0001008443,B,C,A,,C,,,
0001008444,B,C,C,,B,,,
0001008445,B,C,A,,C,,,A
0001008446,A,A,C,,C,,,
0001008447,C,B,A,,C,,,B
0001008448,A,A,C,,B,,,
0001008449,B,B,B,,C,,,B
0001008450,A,A,A,,B,,,
0001008451,C,B,B,,A,,,
0001008452,B,B,A,,A,,,
0001008453,B,B,C,,C,,,A
0001008454,C,C,A,,B,,,A
0001008455,A,B,B,,C,,,
0001008456,B,A,C,,C,,,A
0001008457,C,B,A,,B,,,
0001008458,C,C,A,,A,,,A
0001008459,A,A,B,,B,,,B
0001008460,A,C,C,,A,,,B
0001008461,B,A,A,,B,,,B
0001008462,B,B,A,,B,,,B
0001008463,B,B,A,,B,,,
0001008464,B,A,B,,B,,,B
0001008465,C,A,B,,A,,,A
0001008466,C,B,C,,B,,,B
0001008467,C,C,B,,C,,,
0001008468,C,C,A,,C,,,A
0001008469,B,B,A,,B,,,B
0001008470,C,B,C,,A,,,B
0001008471,B,B,A,,A,,,
0001008472,B,A,A,,A,,,A
0001008473,A,A,A,,A,,,B
0001008474,A,C,A,,B,,,A
0001008475,A,B,C,,B,,,A
0001008476,B,B,A,,B,,,A
0001008477,B,A,A,,A,,,B
0001008478,B,C,B,,C,,,
0001008479,B,A,B,,B,,,
0001008480,B,B,B,,B,,,A
0001008481,A,B,A,,C,,,
0001008482,A,C,B,,B,,,
0001008483,C,A,A,,B,,,A
0001008484,C,C,B,,A,,,
0001008485,B,C,C,,C,,,
0001008486,B,C,A,,B,,,
0001008487,B,A,A,,B,,,
0001008488,A,A,C,,A,,,A
0001008489,A,B,A,,A,,,
0001008490,C,B,C,,B,,,B
0001008491,B,B,C,,B,,,A
0001008492,A,B,C,,A,,,A
0001008493,C,A,C,,B,,,B
0001008494,B,C,A,,B,,,
0001008495,B,A,A,,C,,,B
0001008496,B,B,A,,B,,,B
0001008497,A,B,B,,A,,,
0001008498,B,B,A,,B,,,B
0001008499,A,B,C,,B,,,A
0001008500,A,C,B,,B,,,A
0001008501,A,C,A,,A,,,A
0001008502,B,A,B,,C,,,
0001008503,A,C,B,,B,,,
0001008504,A,B,C,,B,,,
0001008505,B,C,B,,B,,,B
0001008506,A,B,A,,B,,,
0001008507,C,B,A,,B,,,
0001008508,A,B,A,,C,,,
0001008509,A,B,B,,C,,,B
0001008510,A,C,A,,C,,,
0001008511,A,C,B,,B,,,
0001008512,A,C,C,,A,,,A
0001008513,B,B,B,,B,,,
0001008514,B,A,B,,C,,,A
0001008515,B,C,B,,B,,,
0001008516,B,C,B,,B,,,A
0001008517,B,A,A,,B,,,
0001008518,C,A,B,,A,,,A
0001008519,B,C,A,,A,,,
0001008520,C,B,B,,C,,,A
0001008521,B,B,A,,B,,,
0001008522,C,A,C,,B,,,
0001008523,C,A,B,,A,,,
0001008524,B,C,B,,B,,,
0001008525,A,B,B,,B,,,
0001008526,C,A,C,,A,,,
0001008527,A,B,C,,C,,,A
0001008528,A,B,B,,A,,,A
0001008529,B,B,A,,C,,,
0001008530,C,B,A,,A,,,A
0001008531,C,C,B,,C,,,
0001008532,B,C,B,,A,,,A
0001008533,C,A,C,,A,,,
0001008534,C,A,C,,C,,,B
0001008535,A,C,B,,C,,,
0001008536,C,B,B,,A,,,B
0001008537,B,B,C,,A,,,
0001008538,B,C,A,,B,,,
0001008539,B,B,A,,C,,,A
0001008540,B,C,A,,B,,,B
0001008541,C,A,C,,B,,,A
0001008542,B,A,C,,A,,,B
0001008543,B,A,B,,B,,,
0001008544,B,A,C,,A,,,
0001008545,B,C,B,,B,,,A
0001008546,B,B,C,,C,,,
0001008547,A,C,C,,A,,,
0001008548,A,C,B,,B,,,B
0001008549,B,B,B,,C,,,A
0001008550,B,C,C,,A,,,
0001008551,C,B,C,,A,,,A
0001008552,A,B,C,,A,,,B
0001008553,A,B,C,,B,,,
0001008554,A,C,A,,B,,,A
0001008555,A,C,A,,B,,,A
0001008556,A,B,B,,B,,,
0001008557,C,A,C,,B,,,
0001008558,C,B,A,,B,,,A
0001008559,A,C,A,,B,,,
0001008560,A,C,A,,C,,,
0001008561,A,C,A,,A,,,B
0001008562,A,B,C,,A,,,
0001008563,A,B,B,,A,,,
0001008564,B,B,C,,C,,,
0001008565,A,B,B,,B,,,
0001008566,A,B,B,,A,,,A
0001008567,B,B,B,,B,,,A
0001008568,A,C,A,,A,,,
0001008569,B,C,C,,B,,,
0001008570,B,A,B,,B,,,A
0001008571,B,B,B,,A,,,A
0001008572,B,B,C,,B,,,A
0001008573,A,B,C,,C,,,
0001008574,C,B,C,,B,,,
0001008575,A,A,C,,B,,,B
0001008576,B,B,A,,C,,,A
0001008577,B,B,A,,A,,,
0001008578,B,C,C,,C,,,
0001008579,B,C,B,,B,,,B
0001008580,B,B,B,,B,,,B
0001008581,B,B,B,,B,,,B
0001008582,B,A,A,,C,,,A
0001008583,B,A,B,,A,,,
0001008584,B,A,B,,A,,,
0001008585,A,B,C,,A,,,
0001008586,B,C,C,,B,,,
0001008587,C,B,B,,A,,,B
0001008588,C,C,B,,C,,,B
0001008589,C,B,B,,B,,,A
0001008590,C,A,A,,B,,,B
0001008591,A,A,A,,B,,,A
0001008592,C,C,B,,A,,,
0001008593,A,B,C,,A,,,A
0001008594,C,B,C,,B,,,
0001008595,A,B,C,,A,,,
0001008596,A,A,B,,B,,,B
0001008597,C,B,B,,C,,,B
0001008598,A,B,A,,B,,,A
0001008599,B,B,A,,B,,,B
0001008600,B,B,A,,B,,,
0001008601,B,A,C,,A,,,
0001008602,C,B,A,,B,,,
0001008603,A,B,A,,A,,,
0001008604,A,B,A,,B,,,A
0001008605,B,B,B,,C,,,
0001008606,A,B,A,,B,,,
0001008607,A,B,A,,B,,,B
0001008608,C,B,C,,A,,,
0001008609,A,C,C,,A,,,
0001008610,C,B,A,,A,,,A
0001008611,B,B,B,,B,,,
0001008612,B,B,B,,B,,,B
0001008613,A,B,A,,A,,,B
0001008614,B,C,A,,B,,,B
0001008615,B,C,B,,B,,,A
0001008616,C,A,A,,C,,,A
0001008617,B,B,A,,B,,,
0001008618,A,C,A,,B,,,A
0001008619,C,C,A,,B,,,
0001008620,C,B,A,,B,,,A
0001008621,B,A,A,,A,,,
0001008622,C,B,B,,B,,,
0001008623,C,B,A,,B,,,B
0001008624,B,B,C,,B,,,
0001008625,A,B,A,,B,,,
0001008626,C,B,B,,B,,,
0001008627,B,B,B,,A,,,A
0001008628,B,A,A,,A,,,A
0001008629,B,C,B,,B,,,B
0001008630,A,C,A,,B,,,B
0001008631,B,C,A,,A,,,
0001008632,C,C,C,,B,,,
0001008633,B,C,B,,B,,,B
0001008634,C,C,A,,B,,,
0001008635,A,B,C,,C,,,A
0001008636,B,B,C,,A,,,B
0001008637,B,C,C,,A,,,
0001008638,B,B,B,,A,,,A
0001008639,B,C,C,,C,,,B
0001008640,B,B,B,,B,,,A
0001008641,B,C,B,,A,,,A
0001008642,A,A,C,,A,,,A
0001008643,B,B,C,,C,,,A
0001008644,B,B,A,,B,,,A
0001008645,B,A,B,,C,,,A
0001008646,C,C,A,,B,,,B
0001008647,C,A,C,,A,,,A
0001008648,A,B,B,,A,,,
0001008649,B,B,C,,B,,,B
0001008650,C,C,A,,A,,,
0001008651,B,B,C,,A,,,
0001008652,B,B,A,,C,,,A
0001008653,A,B,B,,B,,,A
0001008654,C,B,B,,C,,,
0001008655,B,C,B,,A,,,
0001008656,B,C,C,,A,,,B
0001008657,A,A,B,,B,,,
0001008658,A,A,A,,A,,,
0001008659,B,C,A,,A,,,
0001008660,B,C,A,,A,,,A
0001008661,B,B,A,,C,,,A
0001008662,B,C,B,,C,,,B
0001008663,B,A,A,,B,,,
0001008664,B,A,C,,B,,,
0001008665,C,A,A,,B,,,A
0001008666,C,C,A,,B,,,
0001008667,A,B,A,,C,,,B
0001008668,B,A,A,,B,,,
0001008669,A,A,A,,A,,,B
0001008670,C,B,B,,A,,,
0001008671,B,B,A,,B,,,B
0001008672,C,B,A,,B,,,
0001008673,C,B,A,,A,,,A
0001008674,A,B,A,,B,,,A
0001008675,B,B,A,,A,,,B
0001008676,A,C,C,,A,,,
0001008677,B,B,B,,C,,,
0001008678,C,A,C,,B,,,
0001008679,B,A,C,,B,,,
0001008680,B,C,C,,B,,,
0001008681,C,C,B,,B,,,
0001008682,B,B,C,,B,,,
0001008683,C,A,A,,A,,,
0001008684,A,A,A,,B,,,
0001008685,B,A,A,,A,,,B
0001008686,A,B,A,,B,,,
0001008687,B,A,B,,C,,,A
0001008688,C,B,B,,A,,,A
0001008689,A,A,B,,A,,,
0001008690,A,B,A,,C,,,B
0001008691,B,A,B,,B,,,A
0001008692,A,C,B,,B,,,
0001008693,B,B,B,,C,,,B
0001008694,B,B,B,,B,,,B
0001008695,C,C,B,,B,,,B
0001008696,C,A,C,,A,,,
0001008697,B,B,A,,A,,,A
0001008698,A,C,B,,C,,,A
0001008699,B,A,A,,B,,,
0001008700,B,C,B,,A,,,
0001008701,B,C,A,,B,,,B
0001008702,B,B,A,,B,,,A
0001008703,A,C,A,,B,,,A
0001008704,A,A,B,,A,,,
0001008705,C,A,A,,A,,,
0001008706,A,C,C,,A,,,A
0001008707,A,B,C,,B,,,A
0001008708,B,C,C,,B,,,
0001008709,B,B,B,,A,,,A
0001008710,B,C,A,,C,,,
0001008711,B,A,C,,A,,,
0001008712,A,B,A,,A,,,
0001008713,B,C,B,,B,,,
0001008714,B,C,C,,B,,,B
0001008715,B,B,A,,C,,,A
0001008716,C,A,B,,B,,,A
0001008717,A,B,B,,C,,,
0001008718,B,C,A,,B,,,
0001008719,A,C,B,,B,,,A
0001008720,C,B,B,,B,,,
0001008721,A,C,B,,A,,,
0001008722,A,B,C,,B,,,
0001008723,C,A,B,,B,,,
0001008724,A,C,A,,C,,,B
0001008725,B,A,A,,B,,,A
0001008726,C,A,C,,A,,,
0001008727,C,B,C,,B,,,
0001008728,C,B,B,,B,,,
0001008729,B,B,A,,C,,,A
0001008730,B,A,B,,A,,,
0001008731,B,C,A,,B,,,A
0001008732,A,B,C,,B,,,
0001008733,B,B,A,,B,,,
0001008734,C,C,C,,B,,,
0001008735,A,C,A,,B,,,
0001008736,B,A,A,,B,,,B
0001008737,C,B,B,,B,,,
0001008738,B,B,B,,C,,,B
0001008739,C,B,A,,C,,,
0001008740,C,B,A,,B,,,A
0001008741,C,B,A,,B,,,B
0001008742,B,B,A,,A,,,
0001008743,B,A,A,,B,,,
0001008744,A,A,A,,B,,,
0001008745,B,C,C,,C,,,B
0001008746,A,C,A,,B,,,
0001008747,B,C,C,,A,,,
0001008748,B,A,C,,C,,,
0001008749,C,A,A,,A,,,
0001008750,A,A,B,,B,,,B
0001008751,B,C,B,,B,,,
0001008752,B,C,B,,B,,,
0001008753,A,B,C,,A,,,B
0001008754,A,A,B,,A,,,B
0001008755,B,B,C,,B,,,
0001008756,B,C,A,,C,,,
0001008757,B,C,A,,A,,,
0001008758,A,C,C,,B,,,A
0001008759,C,A,B,,C,,,B
0001008760,C,C,C,,B,,,B
0001008761,B,B,A,,C,,,B
0001008762,B,B,A,,B,,,
0001008763,B,A,C,,C,,,
0001008764,B,B,C,,A,,,
0001008765,C,C,A,,B,,,
0001008766,B,C,C,,B,,,B
0001008767,A,B,A,,B,,,A
0001008768,C,B,A,,C,,,
0001008769,C,C,A,,C,,,A
0001008770,A,A,C,,A,,,
0001008771,B,B,B,,A,,,
0001008772,B,B,A,,B,,,
0001008773,C,B,B,,B,,,
0001008774,C,B,A,,A,,,
0001008775,C,C,B,,A,,,A
0001008776,A,A,A,,B,,,B
0001008777,B,B,C,,A,,,A
0001008778,B,A,B,,C,,,
0001008779,A,B,A,,A,,,
0001008780,B,C,B,,C,,,A
0001008781,B,B,C,,A,,,
0001008782,C,B,B,,B,,,
0001008783,A,B,B,,B,,,
0001008784,B,A,B,,A,,,
0001008785,A,A,A,,B,,,A
0001008786,B,C,A,,B,,,B
0001008787,C,A,C,,B,,,
0001008788,A,A,C,,B,,,
0001008789,B,A,C,,A,,,
0001008790,B,C,B,,B,,,A
0001008791,B,C,A,,B,,,
0001008792,B,A,C,,B,,,A
0001008793,C,A,C,,B,,,
0001008794,B,B,B,,A,,,B
0001008795,B,A,A,,C,,,
0001008796,C,B,A,,A,,,A
0001008797,B,C,C,,B,,,A
0001008798,B,A,B,,A,,,
0001008799,B,C,A,,B,,,A
0001008800,B,C,A,,B,,,
0001008801,A,B,B,,A,,,B
0001008802,B,A,B,,C,,,A
0001008803,B,B,C,,B,,,
0001008804,A,C,B,,A,,,B
0001008805,C,A,B,,A,,,B
0001008806,A,C,C,,A,,,
0001008807,A,C,A,,A,,,A
0001008808,A,A,B,,B,,,B
0001008809,B,A,A,,B,,,
0001008810,B,A,B,,C,,,A
