Id,Name,AccountNumber,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,OwnerId,CreatedDate,LastModifiedDate,IsDeleted
00100010497,Dominguez Group,ACC-010497,Prospect,Media,27206352.73,413,2386 Myers Flat,North Sarah,NV,36532,USA,(819)917-7987x6829,www.bruce.net,Hot,0050015,2023-10-16 17:21:13,2024-01-16 17:21:13,False
00100010498,"Gonzalez, Gamble and Johnson",ACC-010498,Customer - Direct,Technology,808382.27,26,806 Faith Turnpike Apt. 504,Lake Patriciastad,WV,51639,USA,(795)679-0012x4825,www.white-mills.info,Warm,0050008,2024-02-13 17:21:13,2024-02-21 17:21:13,False
00100010499,"Long, Taylor and Serrano",ACC-010499,Customer - Direct,Manufacturing,12789104.19,2905,32894 Greer Forges Apt. 891,Richardview,CO,90215,USA,+1-552-585-7256x29269,www.moreno-harrington.com,Warm,0050018,2021-11-04 17:21:13,2022-08-05 17:21:13,False
00100010500,Walker PLC,ACC-010500,Customer - Direct,Telecommunications,7390851.91,366,655 Stephanie Overpass,Stephanieside,MD,02549,USA,+1-357-344-3034x918,www.george-martin.com,Cold,0050013,2025-02-07 17:21:13,2025-06-28 17:21:13,False
00100010501,"Whitaker, Cook and Young",ACC-010501,Partner,Financial Services,55619300.26,579,53641 Carter Coves,Mariaborough,CT,28890,USA,001-225-293-6781x3675,www.baker.com,Cold,0050014,2025-07-23 17:21:13,2025-08-20 17:21:13,False
00100010502,Clements-Sparks,ACC-010502,Customer - Direct,Technology,4446660.1,687,2769 Heather Pine,Hoffmanberg,WV,63155,USA,8454238885,www.mcconnell.biz,Warm,0050017,2022-09-17 17:21:13,2023-02-14 17:21:13,False
00100010503,Brown-Nguyen,ACC-010503,Partner,Technology,6002203.39,628,8744 Devon Squares Suite 854,Jessicachester,MN,42093,USA,001-294-428-2491x165,www.khan.com,Cold,0050002,2021-11-26 17:21:13,2022-01-30 17:21:13,False
00100010504,Watson-Hall,ACC-010504,Prospect,Energy,129219.41,2,32155 Jared Islands,Timothyhaven,IL,83524,USA,+1-968-421-4448x8966,www.mccarty-vaughn.com,Warm,0050005,2022-03-28 17:21:13,2022-12-05 17:21:13,False
00100010505,Cole-Walsh,ACC-010505,Partner,Manufacturing,1089125.6,828,462 David Vista Apt. 543,New Jefferyburgh,VT,71720,USA,623-312-3920,www.bennett.com,Warm,0050013,2025-03-28 17:21:13,2025-04-04 17:21:13,False
00100010506,"Sanchez, Baker and Moore",ACC-010506,Customer - Direct,Telecommunications,3179786.16,37,0827 Stone Corners Suite 225,Marshallview,WA,48104,USA,+1-447-326-2905,www.velasquez.biz,Cold,0050015,2022-08-06 17:21:13,2022-12-30 17:21:13,False
00100010507,"Spencer, Blair and Long",ACC-010507,Customer - Direct,Financial Services,108087150.1,19,717 Bryan Spur,East Scott,VT,95961,USA,599.820.5222,www.moses.biz,Warm,0050006,2023-03-08 17:21:13,2023-11-09 17:21:13,False
00100010508,Sandoval-Richards,ACC-010508,Customer - Direct,Retail,18112601.09,1007,88232 Valdez Squares Apt. 983,Angelaport,KY,55272,USA,277-773-2643,www.grimes-lane.info,Cold,0050019,2023-05-06 17:21:13,2023-10-28 17:21:13,False
00100010509,"Baldwin, Wilson and Barry",ACC-010509,Customer - Direct,Retail,137513226.2,2,29271 Brian Gateway Suite 871,South Jean,GU,43345,USA,(498)783-2201,www.daniel-barber.com,Warm,0050013,2024-10-12 17:21:13,2024-11-08 17:21:13,False
00100010510,"Lopez, Johnson and Williams",ACC-010510,Customer - Direct,Telecommunications,2543601.33,285,788 Bailey Fords Suite 852,Lake Amanda,AR,98884,USA,001-303-704-4361x99517,www.finley.org,Warm,0050010,2024-05-25 17:21:13,2025-01-25 17:21:13,False
00100010511,Johnson and Sons,ACC-010511,Customer - Direct,Technology,11708123.51,83,950 Kevin Neck,Desireehaven,ID,07931,USA,+1-330-496-7139x719,www.williams-hernandez.com,Hot,0050013,2025-03-05 17:21:13,2025-04-08 17:21:13,False
00100010512,Clark Inc,ACC-010512,Customer - Channel,Energy,59125558.39,183,7201 Darren Light Suite 122,North Christinaton,NV,18325,USA,001-858-773-3930x4936,www.herrera.com,Cold,0050012,2023-07-27 17:21:13,2024-04-04 17:21:13,False
00100010513,Curtis-Ortega,ACC-010513,Partner,Financial Services,2135867.57,137,124 Craig Haven Apt. 868,West Michelle,OK,87653,USA,222-594-6209x35561,www.estrada.org,Warm,0050015,2025-05-26 17:21:13,2026-03-18 17:21:13,False
00100010514,Colon-Frank,ACC-010514,Prospect,Healthcare,1418721.08,82,1243 Mcconnell Plaza,Amberfurt,ME,17584,USA,804.312.0270,www.mendez-mendoza.net,Hot,0050008,2022-04-14 17:21:13,2023-04-01 17:21:13,False
00100010515,Ramirez-Jackson,ACC-010515,Partner,Retail,4090631.4,4862,1669 Robert Curve,Port Juan,SD,14530,USA,854-920-3403x01095,www.rocha.com,Hot,0050001,2025-07-07 17:21:13,2025-09-23 17:21:13,False
00100010516,"Brown, Ramos and Rhodes",ACC-010516,Customer - Direct,Financial Services,790831.57,11,4623 Mendoza Coves Apt. 476,North Bradleyton,WI,16034,USA,410.830.6831x76417,www.williams.com,Hot,0050004,2024-12-23 17:21:13,2025-10-08 17:21:13,False
00100010517,Rodriguez-Watkins,ACC-010517,Customer - Direct,Telecommunications,2440775.46,45,0713 Ricky Cove,North Steven,IN,44035,USA,804-458-4743,www.padilla.com,Warm,0050015,2024-02-10 17:21:13,2024-03-25 17:21:13,False
00100010518,"Graham, Bailey and Villarreal",ACC-010518,Prospect,Media,25210385.51,9670,6694 Johnson Crest Apt. 533,Mooremouth,KS,57841,USA,(262)615-9183x2700,www.perry-garcia.com,Warm,0050001,2024-06-03 17:21:13,2024-08-03 17:21:13,False
00100010519,"Lawrence, Fischer and Pope",ACC-010519,Customer - Channel,Media,575741.78,432,9771 Johnson Summit,Brendaside,WI,72857,USA,494-290-5315,www.bishop-shaw.org,Warm,0050019,2022-09-08 17:21:13,2023-04-10 17:21:13,False
00100010520,Lucas-Harper,ACC-010520,Customer - Channel,Technology,9798674.58,12561,9873 James Ramp Suite 166,Curtisfurt,CT,19957,USA,574.407.7943,www.kim-clark.net,Hot,0050017,2022-06-01 17:21:13,2023-04-03 17:21:13,False
00100010521,"Garza, Roberts and Carroll",ACC-010521,Customer - Channel,Telecommunications,7779319.58,29,701 Martin Meadows,North Jason,AR,68077,USA,382.511.6020x418,www.cohen-potter.org,Warm,0050005,2021-05-19 17:21:13,2022-04-01 17:21:13,False
00100010522,"Larson, Dyer and Deleon",ACC-010522,Partner,Financial Services,3528826.69,8,11708 Reilly Pass Apt. 186,Kevinberg,GA,99831,USA,775-988-3978,www.ryan.com,Warm,0050017,2024-07-19 17:21:13,2025-04-13 17:21:13,False
00100010523,Fernandez-Barnes,ACC-010523,Prospect,Transportation,533311.11,4531,1236 Kevin Lodge Apt. 128,Craigshire,KY,22173,USA,+1-768-582-7697x040,www.wilson.org,Cold,0050011,2023-09-06 17:21:13,2024-04-24 17:21:13,False
00100010524,Rodriguez-Simmons,ACC-010524,Prospect,Transportation,20395687.56,1269,327 Craig Valley Apt. 565,Port Sarahshire,AS,86829,USA,+1-862-240-9649x66834,www.chavez-edwards.com,Cold,0050016,2023-05-02 17:21:13,2023-10-02 17:21:13,False
00100010525,Smith-Hoffman,ACC-010525,Customer - Direct,Financial Services,5568116.82,3,2259 Margaret Lodge,Amyberg,AL,66368,USA,001-234-886-8839,www.mercer.info,Warm,0050019,2020-12-28 17:21:13,2021-10-26 17:21:13,False
00100010526,Ewing PLC,ACC-010526,Partner,Financial Services,3036976.44,99,916 Cindy Circles Apt. 413,New Paulabury,MI,87163,USA,001-292-636-1337x60523,www.hawkins-davis.com,Warm,0050018,2023-05-30 17:21:13,2023-11-03 17:21:13,False
00100010527,"Johnson, Martin and Knox",ACC-010527,Competitor,Manufacturing,17838360.21,1,7241 Roy Run Apt. 344,Port Ashleyfurt,PR,08782,USA,271.882.4989x8088,www.whitaker-thomas.com,Cold,0050017,2022-08-17 17:21:13,2023-07-01 17:21:13,False
00100010528,Ramos Group,ACC-010528,Customer - Direct,Manufacturing,5869633.62,150,59266 Gardner Ridges,Lake Theresa,MO,91789,USA,+1-687-748-6941x559,www.williams.org,Warm,0050010,2025-06-23 17:21:13,2026-05-02 17:21:13,False
00100010529,"White, Kirk and Norman",ACC-010529,Customer - Direct,Financial Services,4421654.84,84,60511 Miller Springs Apt. 398,Clarkmouth,IA,54344,USA,001-221-289-4559x067,www.wheeler.org,Warm,0050004,2021-08-31 17:21:13,2021-10-21 17:21:13,False
00100010530,Roman-Evans,ACC-010530,Customer - Channel,Healthcare,2518263.82,67,04664 Reynolds Loop Apt. 564,North Lori,ME,41755,USA,(257)875-8097x45338,www.sanchez.com,Cold,0050011,2021-07-15 17:21:13,2021-10-30 17:21:13,False
00100010531,Liu-Logan,ACC-010531,Partner,Technology,58961151.21,9,5401 Chen Rapids,Jeremyton,AL,91568,USA,+1-862-421-2242x76774,www.austin-price.com,Hot,0050015,2022-04-22 17:21:13,2022-08-09 17:21:13,False
00100010532,Thompson Ltd,ACC-010532,Customer - Direct,Healthcare,8158417.78,2728,58488 Holder Avenue,North Thomashaven,MO,63572,USA,001-678-923-1299x570,www.gamble.com,Cold,0050013,2024-05-01 17:21:13,2025-04-05 17:21:13,False
00100010533,Little Group,ACC-010533,Customer - Direct,Healthcare,7418783.05,26,12038 Perez Trace,Petersonchester,MI,91784,USA,001-668-407-8525,www.anderson-powers.com,Warm,0050007,2025-05-11 17:21:13,2025-07-31 17:21:13,False
00100010534,"Nguyen, King and Robles",ACC-010534,Prospect,Energy,6662499.41,229,06445 Pearson Junction Apt. 311,East Eric,VT,59149,USA,989-479-1776x3342,www.lee.net,Cold,0050003,2024-06-20 17:21:13,2024-09-17 17:21:13,False
00100010535,Cohen-Weiss,ACC-010535,Customer - Channel,Healthcare,4301835.16,1516,0801 Rivers Views Apt. 453,South Chelseabury,MD,94766,USA,+1-282-249-3534,www.french.biz,Cold,0050012,2022-09-20 17:21:13,2022-10-29 17:21:13,False
00100010536,Wells-Mitchell,ACC-010536,Customer - Channel,Energy,50565260.4,4,5244 Rangel Lake,Joseton,GU,70196,USA,385.217.9937,www.parks.com,Hot,0050013,2024-12-08 17:21:13,2024-12-10 17:21:13,False
00100010537,Schneider Inc,ACC-010537,Customer - Direct,Technology,408160.82,240,788 Sawyer Street,Larashire,OR,56283,USA,001-488-929-0457,www.hill.com,Warm,0050018,2023-07-11 17:21:13,2024-02-27 17:21:13,False
00100010538,Bennett-Johnson,ACC-010538,Competitor,Technology,20857225.98,16,986 Thompson Curve,Port Angela,IN,78147,USA,828.433.9121x870,www.clark.com,Warm,0050006,2021-12-13 17:21:13,2022-10-14 17:21:13,False
00100010539,"Lane, Glass and Jackson",ACC-010539,Prospect,Technology,43786794.86,186,10232 Allen Square,Murrayfurt,DE,06439,USA,3896876108,www.watson.com,Warm,0050014,2023-03-07 17:21:13,2023-08-04 17:21:13,False
00100010540,Lowery and Sons,ACC-010540,Customer - Direct,Healthcare,11162285.57,427,3198 Kristi Harbor Suite 823,Kyleshire,MD,89142,USA,700-630-7620,www.cisneros-chapman.info,Warm,0050006,2025-08-19 17:21:13,2025-12-16 17:21:13,False
00100010541,Rivera Ltd,ACC-010541,Partner,Retail,906260.86,368,6664 Charles Rue,Hendricksport,VI,11844,USA,001-613-940-7851x699,www.mills.com,Warm,0050005,2024-03-13 17:21:13,2025-03-10 17:21:13,False
00100010542,"Wolf, Jordan and Kelley",ACC-010542,Customer - Direct,Energy,21226991.37,98,268 Moore Rest Suite 083,Granthaven,MH,83768,USA,001-717-887-9150,www.cox.org,Cold,0050014,2024-03-24 17:21:13,2025-03-19 17:21:13,False
00100010543,Mosley-Johnson,ACC-010543,Prospect,Energy,216285.61,77,01265 Sweeney Roads,South Alexis,CO,73022,USA,7953217558,www.tucker-carter.com,Warm,0050007,2020-12-29 17:21:13,2021-08-19 17:21:13,False
00100010544,"Adkins, Freeman and Cruz",ACC-010544,Competitor,Energy,5219409.88,69,18824 Charlotte Ramp,Casechester,KY,23704,USA,(229)675-8917,www.simon.net,Cold,0050006,2025-06-01 17:21:13,2026-05-19 17:21:13,False
00100010545,Becker-Watson,ACC-010545,Customer - Direct,Healthcare,10907183.77,1192,6820 David Ways,Tylertown,VT,75804,USA,9014635640,www.wilcox.info,Hot,0050003,2024-07-03 17:21:13,2024-11-16 17:21:13,False
00100010546,Gordon PLC,ACC-010546,Prospect,Technology,1808780.03,1337,400 Todd Run Apt. 247,North Derek,MT,10002,USA,(785)207-1058x0119,www.thompson.com,Hot,0050016,2021-05-25 17:21:13,2022-04-11 17:21:13,False
00100010547,Lopez-Miller,ACC-010547,Customer - Direct,Energy,47195376.76,522,537 Lori Dale,North Antonio,CA,56886,USA,001-650-707-4189,www.carter.org,Hot,0050015,2022-07-05 17:21:13,2023-06-09 17:21:13,False
00100010548,"Mcdonald, Watkins and Berry",ACC-010548,Customer - Channel,Financial Services,2529744.99,555,2944 Miranda Loop Apt. 982,Harrisport,AS,71072,USA,831-504-5025,www.white.com,Warm,0050019,2021-04-22 17:21:13,2021-08-02 17:21:13,False
00100010549,Scott-Gallagher,ACC-010549,Prospect,Financial Services,112396523.64,55,2680 Atkins Plains,Williamschester,NV,25897,USA,001-683-444-8838,www.mcbride-reyes.com,Warm,0050016,2023-06-07 17:21:13,2023-08-05 17:21:13,False
00100010550,Herman-Fernandez,ACC-010550,Prospect,Media,167063.3,9,0774 Phillip Mission Suite 515,Mooreshire,HI,96076,USA,6902855107,www.branch.com,Warm,0050005,2022-10-05 17:21:13,2023-01-29 17:21:13,False
00100010551,Ford PLC,ACC-010551,Competitor,Manufacturing,30612387.02,445,90254 Fleming Center Apt. 206,Samanthamouth,GU,35634,USA,001-212-401-2275x950,www.malone-lyons.com,Cold,0050014,2022-03-08 17:21:13,2022-05-24 17:21:13,False
00100010552,Flores LLC,ACC-010552,Customer - Direct,Manufacturing,21347474.39,72,259 Alexander River,Antonioport,AZ,65029,USA,773-227-9805,www.estrada.com,Hot,0050011,2024-04-28 17:21:13,2024-07-10 17:21:13,False
00100010553,Haas LLC,ACC-010553,Customer - Direct,Retail,4478934.99,56,0391 Joshua Crossroad,East Rosshaven,RI,92084,USA,001-741-718-4913x59928,www.blankenship.org,Cold,0050010,2025-05-31 17:21:13,2025-07-01 17:21:13,False
00100010554,Thomas-Ward,ACC-010554,Prospect,Technology,38330214.23,4315,06799 Dawn Locks,Hahnside,AR,10159,USA,+1-667-474-0378,www.preston.com,Hot,0050012,2024-11-19 17:21:13,2025-04-26 17:21:13,False
00100010555,Carpenter-Richmond,ACC-010555,Customer - Direct,Manufacturing,21970183.34,382,00677 Blake Vista Apt. 550,East Cynthia,MP,01949,USA,673-365-4262,www.medina-white.com,Hot,0050018,2022-06-24 17:21:13,2023-04-12 17:21:13,False
00100010556,"Lopez, Valentine and Park",ACC-010556,Partner,Telecommunications,2284597.65,11,34511 Jo Bypass,Lake Pattychester,MP,89206,USA,5532088684,www.tanner.com,Warm,0050006,2024-03-12 17:21:13,2024-10-23 17:21:13,False
00100010557,Long-Robinson,ACC-010557,Customer - Channel,Media,34912135.73,270,045 Cook Wells,Morrisshire,VI,24889,USA,529-596-4260,www.lambert-khan.com,Warm,0050011,2025-02-12 17:21:13,2025-10-10 17:21:13,False
00100010558,"Thomas, Wood and Meyer",ACC-010558,Prospect,Media,84841815.92,673,7709 Aaron Mills,North Laurieburgh,IN,94046,USA,001-980-223-6219x21581,www.diaz.com,Hot,0050017,2021-12-14 17:21:13,2022-05-19 17:21:13,False
00100010559,"Kim, Nichols and Cook",ACC-010559,Prospect,Healthcare,16521304.76,17,959 Vaughn Mountains,Lake Hannah,MS,73378,USA,900.453.7893x18692,www.hill.com,Warm,0050016,2021-11-21 17:21:13,2022-06-16 17:21:13,False
00100010560,"Davis, Palmer and Jackson",ACC-010560,Partner,Media,11513826.42,29,00283 Herrera Road Apt. 220,Christopherview,NM,37038,USA,+1-232-481-1659x9302,www.walters.com,Warm,0050009,2024-04-15 17:21:13,2024-12-28 17:21:13,False
00100010561,"Dominguez, Robinson and Anderson",ACC-010561,Competitor,Healthcare,12949056.26,19,5213 Robbins Canyon Apt. 816,Oliviachester,KS,52388,USA,700.859.3777,www.davis.com,Warm,0050008,2022-10-15 17:21:13,2023-06-25 17:21:13,False
00100010562,"Johnson, Martin and George",ACC-010562,Competitor,Retail,2269699.51,56,174 Grimes Canyon Apt. 983,Port Anthonybury,MP,97739,USA,+1-341-596-6229,www.barnes.net,Hot,0050012,2023-05-12 17:21:13,2023-06-23 17:21:13,False
00100010563,Richardson PLC,ACC-010563,Partner,Financial Services,57594275.59,248,6706 Jackie Drives Apt. 986,Michaelport,OR,38110,USA,001-744-207-6634x93396,www.holland-bennett.info,Warm,0050002,2022-06-18 17:21:13,2022-07-09 17:21:13,False
00100010564,Anderson and Sons,ACC-010564,Customer - Channel,Manufacturing,1224070.7,83,61142 Robinson Loop Apt. 585,Emilyville,TX,67962,USA,808.679.9196x23419,www.harris.com,Hot,0050005,2020-10-29 17:21:13,2021-06-08 17:21:13,False
00100010565,Cortez LLC,ACC-010565,Customer - Channel,Retail,108615.94,58,50583 John Flats Apt. 311,Melindahaven,NM,53672,USA,7549576947,www.matthews-jacobson.com,Cold,0050014,2021-09-11 17:21:13,2022-02-24 17:21:13,False
00100010566,"Ingram, Valenzuela and Reid",ACC-010566,Prospect,Media,1524156.53,46,3659 Ritter Groves,Hugheshaven,MS,08834,USA,(634)321-2545x08095,www.lopez-ross.com,Warm,0050013,2022-06-06 17:21:13,2022-10-13 17:21:13,False
00100010567,Buchanan-Watson,ACC-010567,Customer - Direct,Retail,17932736.01,2984,4721 Alexander Ways Suite 235,West Hunterville,GU,37976,USA,6487933261,www.lewis-pacheco.info,Hot,0050006,2025-09-02 17:21:13,2025-10-19 17:21:13,False
00100010568,"Gutierrez, Barrett and Ellis",ACC-010568,Partner,Media,188573.32,708,008 Tyler Pines,Samanthaberg,DE,10908,USA,(887)918-4523x542,www.adams-frazier.info,Warm,0050017,2024-07-13 17:21:13,2025-06-24 17:21:13,False
00100010569,Rodriguez and Sons,ACC-010569,Customer - Channel,Transportation,445662.24,1060,086 Hutchinson View,East Rebecca,NH,59872,USA,(296)365-6337,www.bartlett-brewer.com,Warm,0050013,2021-02-15 17:21:13,2021-12-07 17:21:13,False
00100010570,"Graves, Ochoa and Cervantes",ACC-010570,Customer - Direct,Manufacturing,31294320.29,580,55800 Samantha Orchard,Lake David,ME,24920,USA,373-916-0943x91368,www.kerr.com,Cold,0050015,2022-07-10 17:21:13,2022-07-21 17:21:13,False
00100010571,Gray LLC,ACC-010571,Customer - Direct,Telecommunications,1871467.07,804,286 Rebecca Burg Apt. 973,Davidstad,RI,46670,USA,+1-233-622-2739x38992,www.farrell-vazquez.com,Hot,0050018,2021-07-11 17:21:13,2022-06-21 17:21:13,False
00100010572,Perez-Perez,ACC-010572,Customer - Channel,Transportation,4232.25,7,85076 Rebecca Plaza Suite 082,Lawsonville,WV,66779,USA,(836)301-0712,www.newman-farley.net,Cold,0050007,2021-03-17 17:21:13,2021-08-02 17:21:13,False
00100010573,Orozco PLC,ACC-010573,Customer - Direct,Manufacturing,6899519.82,35,176 Ferguson Green,Mendozamouth,NV,99296,USA,622-633-2228x019,www.reed.org,Warm,0050008,2022-08-01 17:21:13,2022-08-22 17:21:13,False
00100010574,Love Ltd,ACC-010574,Customer - Direct,Technology,3562113.09,2184,56062 Clark Shoal,South Johnfort,VI,32566,USA,518-204-6741,www.caldwell-perez.net,Cold,0050014,2021-07-15 17:21:13,2021-10-13 17:21:13,False
00100010575,Barton-Delgado,ACC-010575,Prospect,Healthcare,564366.9,1016,01362 Guerrero Pass Suite 639,Sandovalfurt,CA,41635,USA,001-847-605-5491x2151,www.jones.com,Hot,0050003,2023-03-06 17:21:13,2023-11-27 17:21:13,False
00100010576,Patterson-Smith,ACC-010576,Customer - Direct,Energy,1091935.55,785,693 Hayes Parks,Lindaton,NJ,00570,USA,(904)326-2019,www.daniel.com,Cold,0050008,2022-02-28 17:21:13,2022-10-13 17:21:13,False
00100010577,Jones-Harris,ACC-010577,Prospect,Transportation,817520.78,736,696 Patel Rue,Sullivanshire,NC,62703,USA,412.467.7319,www.pearson-leonard.com,Cold,0050012,2024-04-03 17:21:13,2024-07-05 17:21:13,False
00100010578,Haley-Dominguez,ACC-010578,Prospect,Retail,9248742.47,20,865 Mary Fords Suite 319,Lake Kaylamouth,ME,25191,USA,4893523120,www.jones.info,Warm,0050007,2022-07-14 17:21:13,2023-02-23 17:21:13,False
00100010579,Nelson-Campbell,ACC-010579,Prospect,Healthcare,9526945.14,1733,7000 Robert Points Suite 644,Crawfordport,OK,59198,USA,001-274-616-3656,www.johnson-russell.com,Cold,0050004,2022-04-03 17:21:13,2022-12-11 17:21:13,False
00100010580,Hale-Harrison,ACC-010580,Customer - Channel,Technology,442632.17,30,649 Jensen Mountain,Millershire,SD,47437,USA,(996)235-3059,www.richardson.com,Cold,0050014,2025-04-21 17:21:13,2025-12-18 17:21:13,False
00100010581,"Martin, Gutierrez and Clark",ACC-010581,Prospect,Telecommunications,18422067.36,3095,15948 Carr Keys Suite 663,Teresaview,VI,38794,USA,001-534-641-4916x9993,www.lane-mitchell.org,Cold,0050017,2023-11-12 17:21:13,2024-06-09 17:21:13,False
00100010582,Wiley-Baker,ACC-010582,Prospect,Manufacturing,34049456.33,71,30958 Anderson Stream,Cummingsborough,OK,88189,USA,+1-989-441-3210,www.vazquez.info,Hot,0050016,2023-12-12 17:21:13,2024-05-25 17:21:13,False
00100010583,Mendoza LLC,ACC-010583,Customer - Direct,Media,13291695.63,15,46557 Michele Crossroad Apt. 300,Joshuachester,PR,40397,USA,(512)993-9002x5121,www.garrison-lin.net,Warm,0050012,2022-01-21 17:21:13,2022-03-16 17:21:13,False
00100010584,"Larson, Lee and Aguilar",ACC-010584,Customer - Channel,Telecommunications,188869.84,754,86199 Sheryl Green Suite 843,Heatherfurt,MS,29505,USA,413-588-5034,www.moore-lambert.com,Cold,0050009,2021-01-02 17:21:13,2021-03-26 17:21:13,False
00100010585,Hodge and Sons,ACC-010585,Partner,Technology,11976507.5,675,4246 Diana Brook Suite 379,Gordonfurt,WY,71315,USA,2084529469,www.davis.com,Warm,0050015,2023-12-19 17:21:13,2024-07-17 17:21:13,False
00100010586,Owens and Sons,ACC-010586,Customer - Channel,Transportation,157259.5,665,3502 Amanda Turnpike,Staceyburgh,GA,73781,USA,+1-446-565-2752x332,www.taylor.com,Hot,0050001,2021-12-04 17:21:13,2022-08-15 17:21:13,False
00100010587,Berry-Rodriguez,ACC-010587,Prospect,Financial Services,1120549.59,303,30334 Mcdonald Cliff,Lake Rachelmouth,MN,01904,USA,762.579.9553x024,www.miller.com,Cold,0050008,2024-03-13 17:21:13,2025-02-16 17:21:13,False
00100010588,"Perkins, Hammond and Cabrera",ACC-010588,Competitor,Energy,185548.08,17,03420 Amber Mount,Port Bonnietown,CO,60036,USA,001-922-324-0507x648,www.may-vazquez.com,Cold,0050019,2023-07-27 17:21:13,2024-05-04 17:21:13,False
00100010589,Gutierrez-Dean,ACC-010589,Customer - Channel,Transportation,955071.63,5,0658 Amanda Mill,Port Erica,SC,19943,USA,681-422-5909x56684,www.washington.com,Warm,0050019,2025-08-10 17:21:13,2026-03-31 17:21:13,False
00100010590,Berry-Shepard,ACC-010590,Customer - Direct,Media,2590967.49,228,21101 Church Canyon,Lake Michael,UT,72957,USA,(690)717-0740x39251,www.george.com,Warm,0050019,2025-04-27 17:21:13,2025-10-06 17:21:13,False
00100010591,Garcia-Thompson,ACC-010591,Customer - Direct,Manufacturing,51923595.12,4105,4338 White Brooks Suite 422,South Gregorymouth,TX,34667,USA,001-663-630-8334,www.wiley-bass.com,Warm,0050017,2024-05-26 17:21:13,2024-11-08 17:21:13,False
00100010592,"Pittman, Porter and Greene",ACC-010592,Customer - Direct,Healthcare,8376555.19,7300,47020 Austin Lane Suite 195,Port Evelyn,NM,34236,USA,+1-926-963-2956x342,www.flores-jackson.com,Warm,0050014,2025-03-01 17:21:13,2025-09-24 17:21:13,False
00100010593,"Hernandez, Barnes and Blackwell",ACC-010593,Partner,Financial Services,1387480.39,28,129 Anthony Land Apt. 294,North Marcuschester,IL,06011,USA,(995)459-6363,www.ortiz.com,Cold,0050010,2020-12-18 17:21:13,2021-09-08 17:21:13,False
00100010594,Reynolds Inc,ACC-010594,Customer - Direct,Media,6309207.3,156,498 Debbie Plaza Suite 133,East Dianaton,AZ,36232,USA,001-483-321-1221,www.curry-dixon.com,Cold,0050018,2021-03-10 17:21:13,2021-03-11 17:21:13,False
00100010595,"Watson, Hernandez and Graham",ACC-010595,Competitor,Transportation,16114107.69,20,764 Dalton Prairie Apt. 854,South Kyleport,WV,18007,USA,+1-700-862-9877x87358,www.morales.com,Warm,0050014,2022-02-16 17:21:13,2022-11-21 17:21:13,False
00100010596,"Wilson, Graham and Anderson",ACC-010596,Customer - Channel,Manufacturing,236279.26,818,219 Jennifer Mews Apt. 213,North Kevin,CA,06461,USA,929-948-3147x8911,www.bryan.org,Hot,0050005,2023-03-23 17:21:13,2023-10-21 17:21:13,False
00100010597,"Wheeler, Austin and Johnston",ACC-010597,Customer - Direct,Technology,490003.08,4888,283 Jill Brooks,East Nancychester,MT,03245,USA,001-520-300-5328x5386,www.morris.com,Warm,0050018,2025-07-05 17:21:13,2025-10-10 17:21:13,False
00100010598,Nelson PLC,ACC-010598,Partner,Telecommunications,405684.2,17,058 Sara Ville,Lake Kimberly,WI,80646,USA,5075686276,www.anthony.net,Hot,0050002,2022-11-28 17:21:13,2023-06-02 17:21:13,False
00100010599,"Orozco, Nunez and Andrade",ACC-010599,Customer - Direct,Retail,37737548.35,88,76185 Nicole Plains,Thompsonmouth,CT,32984,USA,(384)510-1328x23392,www.hurst-murray.org,Hot,0050001,2022-04-28 17:21:13,2023-01-09 17:21:13,False
00100010600,"Chase, Rice and Nguyen",ACC-010600,Customer - Direct,Healthcare,15425529.2,2307,7761 Roberto Roads,Margaretburgh,AL,83706,USA,+1-981-843-1927,www.murray.com,Warm,0050005,2022-04-23 17:21:13,2022-12-06 17:21:13,False
00100010601,Booker-Barnes,ACC-010601,Customer - Direct,Telecommunications,9693428.67,221,457 Jessica Brook,Lake Peter,MN,91718,USA,(486)729-5912x5734,www.walker-nelson.biz,Cold,0050008,2021-07-21 17:21:13,2021-08-17 17:21:13,False
00100010602,"Fields, Gallagher and Rojas",ACC-010602,Prospect,Financial Services,52962279.33,2,907 Burton Divide,Hendersonport,CA,57893,USA,001-996-670-8089,www.frazier.org,Cold,0050008,2024-09-03 17:21:13,2025-01-18 17:21:13,False
00100010603,"Mitchell, Hill and Mckay",ACC-010603,Partner,Retail,756845.84,90,841 Murray Heights,Stonemouth,IL,52755,USA,001-298-481-6498x0445,www.bowman.com,Warm,0050005,2022-09-26 17:21:13,2022-12-03 17:21:13,False
00100010604,Wilson Inc,ACC-010604,Customer - Direct,Manufacturing,7623025.51,9523,2706 Roberts Rapids,North Maryburgh,KY,70577,USA,758-913-0889x830,www.estrada-fernandez.com,Hot,0050013,2024-03-14 17:21:13,2024-10-25 17:21:13,False
00100010605,"Larson, Wells and Whitaker",ACC-010605,Prospect,Energy,50438211.75,72,563 Edward Mission,Roseton,AL,28400,USA,2567619953,www.carter-grant.org,Hot,0050015,2020-11-16 17:21:13,2021-11-09 17:21:13,False
